ID,Item Number,Item Name,UNIT,CATEGORY,REORDERQTY,Average Unit Cost,Regular Price,WHOLESALE,TAXRATE,TAX GROUP,LOCATION,qty,Item Type,Item Description,shelf,supplier
1,6441,BRAND,PC,ELECTRONICS,0,700,0,0,16,B,Main Shop,100,inventory,,,
2,6463,HP 340 g1 abcd CASING,PC,ELECTRONICS,0,7460,12000,0,16,B,Main Shop,100,inventory,,,
3,6474,HP 820 G1 FAN,PC,ELECTRONICS,0,640,1500,0,16,B,Main Shop,100,inventory,,,
4,6494,500GB TOSHIBA HD EXTERNAL,PC,ELECTRONICS,0,5000,0,0,16,B,Main Shop,100,inventory,,,
5,6503,RJ II BRIDGE,PC,ELECTRONICS,0,100,0,0,16,B,Main Shop,100,inventory,,,
6,6507,DELL 15-5447 internal BATTER,PC,ELECTRONICS,0,1851,3500,0,16,B,Main Shop,100,inventory,DELL 15-5447 14-5447 15-5445 15-5547 TRHFF  internal BATTERY,,
7,3685,dell e6420 vga circuit,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,,,
8,4565,Lenovo 19.5V 7.7a 6.3*3.0,PC,ELECTRONICS,0,2504.72222,4500,0,16,B,Main Shop,100,inventory,6.3*3.0,,
9,4929,Hard disk Docking station,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,docking station,,
10,4573,10m Hdmi TO HDMI,PC,ELECTRONICS,0,963.33333,2000,0,16,B,Main Shop,100,inventory,,,
11,4930,8gb ddr3 pc3L 12800 LAPTOP,PC,ELECTRONICS,0,1500,2500,0,16,B,Main Shop,100,inventory,8GB DDR3 PC3L 12800 LAPTOP,,
12,4568,Male XLR jack,PC,ELECTRONICS,0,200,800,0,16,B,Main Shop,100,inventory,male xlr connector,,
13,1777,samsung np900 i5 motherboard,PC,ELECTRONICS,0,24000,22000,0,16,B,Main Shop,100,inventory,,,
14,1768,toshiba p505 motherboard,PC,ELECTRONICS,0,6000,9000,0,16,B,Main Shop,100,inventory,,,
15,4569,3.5mm Mini Stereo,PC,ELECTRONICS,0,45,200,0,16,B,Main Shop,100,inventory,Male 3.5mm Mini Stereo,,
16,1753,sony pcg 61211t pm,PC,ELECTRONICS,0,13500,12000,0,16,B,Main Shop,100,inventory,,,
17,4570,USB Extender 10m Cable,PC,ELECTRONICS,0,600,1000,0,16,B,Main Shop,100,inventory,USB Extender 10m Cable,,
18,1775,hp g4 1000 motherboard,PC,ELECTRONICS,0,5573.33333,7500,0,16,B,Main Shop,100,inventory,"g6-1000 , g7 - 1000",,
19,4571,10M Vga male to Female cable,PC,ELECTRONICS,0,400,1000,0,16,B,Main Shop,100,inventory,10M Vga male to Female cable,,
20,1770,acer 5230 motherboard,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,,,
21,3658,hdmi splitter,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,,,
22,4572,Universal Power Extension Cable,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,Universal port Power Extension Cable,,
23,1755,toshiba c660 hm55 motherboard,PC,ELECTRONICS,0,8000,15000,0,16,B,Main Shop,100,inventory,i5 double,,
24,1756,toshiba c660 hm65 motherboard,PC,ELECTRONICS,0,8000,15000,0,16,B,Main Shop,100,inventory,i5 single,,
25,1752,Software upgrade,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,Software upgrade,,
26,4931,4GB DDR3 PC3L 12800 LAPTOP,PC,ELECTRONICS,0,478.63662,1500,0,16,B,Main Shop,100,inventory,4GB DDR3 PC3L 12800 LAPTOP,,
27,1757,hp probook 6555 i5 motherboard,PC,ELECTRONICS,0,10000,9000,0,16,B,Main Shop,100,inventory,,,
28,1758,acer e1-531 motherboard,PC,ELECTRONICS,0,5591.625,9000,0,16,B,Main Shop,100,inventory,"E1 , 531 GM ,",,
29,1759,hp 450 g2 I5 motherboard,PC,ELECTRONICS,0,12620,19000,0,16,B,Main Shop,100,inventory,,,
30,4932,4GB DDR3 PC3 8500 LAPTOP,PC,ELECTRONICS,0,1700,3000,0,16,B,Main Shop,100,inventory,PC3 8500 LAPTOP,,
31,1760,hp pavilion 15 green motherboar,PC,ELECTRONICS,0,18000,18000,0,16,B,Main Shop,100,inventory,,,
32,4933,4GB DDR3 PC3 12800 LAPTOP,PC,ELECTRONICS,0,1500,3000,0,16,B,Main Shop,100,inventory,4GB DDR3 PC3 12800,,
33,1761,lenovo g580 green motherboard,PC,ELECTRONICS,0,7000,12000,0,16,B,Main Shop,100,inventory,,,
34,4934,2GB DDR2 PC 6400 LAPTOP,PC,ELECTRONICS,0,190.91428,1000,0,16,B,Main Shop,100,inventory,2GB PC 6400,,
35,1762,hp dv7 4000 i7 PM motherboard,PC,ELECTRONICS,0,12000,9000,0,16,B,Main Shop,100,inventory,,,
36,4935,8GB DDR3 PC3 12800 LAPTOP,PC,ELECTRONICS,0,1700,3500,0,16,B,Main Shop,100,inventory,,,
37,1763,hp pavilion 14 motherboard,PC,ELECTRONICS,0,18000,15000,0,16,B,Main Shop,100,inventory,,,
38,4631,HP 4740 Keyboard,PC,ELECTRONICS,0,1500,2000,0,16,B,Main Shop,100,inventory,4740,,
39,4936,hp folio 9470 battery,PC,ELECTRONICS,0,2500,5500,0,16,B,Main Shop,100,inventory,,,
40,1764,toshiba l500 motherboard,PC,ELECTRONICS,0,2000,7500,0,16,B,Main Shop,100,inventory,,,
41,4632,hp PAVILION 15 ab Keyboard,PC,ELECTRONICS,0,468.66666,2000,0,16,B,Main Shop,100,inventory,hp 15,,
42,4937,hp 820 g2 battery,PC,ELECTRONICS,0,3500,5000,0,16,B,Main Shop,100,inventory,,,
43,1765,toshiba tecra r900 motherboard,PC,ELECTRONICS,0,15000,12000,0,16,B,Main Shop,100,inventory,,,
44,4938,hp 840 g1 ORIG battery,PC,ELECTRONICS,0,1685.4132,3500,0,16,B,Main Shop,100,inventory,CM03,,
45,1766,toshiba tecra m11 motherboard,PC,ELECTRONICS,0,6500,11000,0,16,B,Main Shop,100,inventory,,,
46,1767,dell d820 duo motherboard,PC,ELECTRONICS,0,9000,7500,0,16,B,Main Shop,100,inventory,,,
47,1769,acer v5 123 amd motherboard,PC,ELECTRONICS,0,10000,7500,0,16,B,Main Shop,100,inventory,,,
