id,selling_price,code,item_name
1,1200,3566,URAL K ORAL SOLN
2,1200,203,w.o.w bandage 4 inch
3,1200,221,MELCAM 15GM 50S
4,1200,460,PARAFAST 500MG
5,1200,714,LYSODOL MR
6,1200,916,ETRICOX T
7,1200,933,MORPHINE ORAL SOLN 100MLS
8,1200,1023,LYSODOL 200SR
9,1200,1117,RELAXON CAPS
10,1200,1176,PANADOL INFANTS 60ML
11,1200,1264,BIOFREEZE ROLLON
12,1200,1271,ACTION 20'S
13,1200,1418,MYONAC MR
14,45,1449,LONOFLAM 8MG
15,250,1556,GAUZE bandages15CM*4YDS 12 ROLLS
16,35,1582,APIGESIC FORTE
17,400,1681,CONTUS PLUS PAED
18,45,1701,NORFLEX CO
19,80,1725,NAPRIN/NAPROXEN
20,400,1728,STEDNAC GEL 30G
21,2950,1737,XYLOCAINE PUMP
22,40,1824,ETOVA 400MG
23,30,2094,CIPLADON 500MG
24,600,2101,ZYRTAL GEL
25,70,2218,ECOFREE PLUS TABS
26,80,2289,NUROFEN 200MG TABS 12S
27,65,2315,XYKAA 1000MG TABS
28,1800,2412,BIOFREEZE GEL
29,50,2420,THIOZONE TABLETS
30,1150,2661,TRAMADOL DENK EFF
31,110,2923,NUROFEN MIGRAINE 342 12s
32,110,2941,BEECOX MR
33,110,2946,XYLOCAINE JELLY 2%
34,110,3009,PHLORO-G
35,110,3171,ETOFLAM 120MG
36,110,3270,PAROL SYRUP 100ML
37,110,3293,BIOFREEZE SPRAY
38,110,3315,ALKA SELTZER 10'S
39,3400,3417,Flexiseq Active Gel
40,160,3512,SUMAFIX 100MG
41,80,3601,BEECOX PLUS
42,120,3626,ETOXYM TABS
43,150,3663,KETOGRESS TABS
44,55,3736,ZULU SP
45,1650,4023,GENGIGEL GEL
46,1600,4051,ALKA SELTZER 20'S
47,600,4746,ACTIN SPRAY
48,190,0,PANADOL NIGHT
49,900,5144,DEEP HEAT RUB 100G
50,20,5179,IBUCAP FORTE
51,10,52381,MEFENAMIC ACID 500MG
52,10,5288,PAROL 500MG TABS 30'S
53,50,7378,VALUS SP TABS 10'S
54,30,5379,VALUS-P TABS 10'S
55,25,5380,VALUS 100MG (ACECLOFENAC)
56,40,5410,PACE MR
57,100,5411,OXIFAST MR
58,40,5412,OXIFAST P
59,2200,5413,OVULATION TEST(5 TESTS)
60,80,5419,CIPLADON PLUS
61,50,5439,ACEPAR SP 10'S
62,50,5444,ACLOTAS P 30'S
63,15,5464,MEFENAMIC ACID[MEFSUN]
64,60,5500,BEECOX 200MG
65,20,5661,DICLODENK RETARD 100MG 100'S
66,450,5709,LOFNAC ROLL -ON
67,285,5758,FENPLUS SUSPENSION 100ML
68,20,5759,FENPLUS TABS 30S
69,50,5844,ZALAC MR
70,100,5845,XIBRA 90MG
71,65,5847,LONOFLAM PLUS 10S
72,40,5848,LOFEN MR30S
73,55,5864,ACLOSARA MR10S
74,85,5865,DOLOXIA 90MG 10S
75,1535,5868,ETR 90MG
76,100,5870,ETR 120MG 30S
77,65,5874,ETCOX 90MG 30S
78,30,5899,PREGABALIN (PERGALIN)75MG 30'S
79,30,5904,MOXA FORTE CAPS 500MG
80,833,5951,FLAMACOR MR
81,60,6036,ECOXX 90MG 30S
82,100,6081,DOLOR GEL (diclofenac20GM)
83,20,6168,XALME SPAS 10S
84,20,6181,LOFNAC-P
85,20,6182,FINMOL TABS 10'S
86,60,6215,COXIRAV 90MG
87,100,6229,TAPANTADOL(TAPAL) 50MG
88,2550,6230,NUROFEN STRAWBERRY 200ML
89,130,6252,TAPAL 100MG 10S
90,1500,6331,CALPOL 2+ SUGAR FREE 100ML
91,40,6344,ZALAC P
92,600,6371,GO PAIN ARNICA GEL
93,45,6408,ETOVAC FORTE TABS 30S
94,200,6422,ANAMOL(PARACETAMOL) 100ML
95,100,6423,ANAMOL(PARACETAMOL) 60ML
96,200,5317,ALLUCID SUSP 100ML
97,454,5462,KLEANGUT ORAL EMULSION 200ML
98,1950,5736,HELICOS KIT
99,2900,5737,GASTRO KIT
100,55,5740,GASTROTAB 40MG 10S
101,130,5878,PEPTO BISMOL 24S
102,700,5947,MUCOGEL SUSPENSION
103,450,5948,PEPGEL PLUS 200ML
104,1000,5949,OPTICID 200ML
105,400,5950,MAGSIM ORAL SUSPENSION 180ML
106,80,6046,GAVISCON INFANT SATCHETS 30S
107,140,6211,nexium 20 Turkey 28's
108,110,5393,SIZODON 3MG 50S
109,95,5781,TAMDURA 30S
110,266,5866,DICLOSARA MR 10S
111,65,5873,FEBUSTAL40MG 30S
112,100,5952,TORY 90MG
113,879,5967,FLEXCAL D 30S
114,45,5968,F2 TONE 30S
115,105,5976,DAPAFLO 10MG 30S
116,1800,6420,cerecare
117,150,389,ALUGEL 100ML
118,350,514,ENO TABS 20'S
119,95,636,PAN 40MG
120,230,756,SILOXOGENE GEL
121,150,818,GASTROGEL 100MLS
122,350,890,lactulin soln 100mls
123,20,957,ENO TABLETS 100'S
124,40,1012,Esofag 40
125,60,1074,ALMAX FORTE
126,300,1300,Allucid Plus susp 100ML
127,1254.25,1381,GAVISCON PEPPERMINT 200ML
128,450,1577,FLATAMEAL DS SUSP 200ML
130,65,1623,RISEK 40MG CAPS
131,90,1662,ESOPRIDE 40MG 30'S
132,100,1751,SOMPRAZ IT CAPS
133,20,1776,RENNIE MINT 48'S
135,400,1787,ALLUCID PLUS 200MLS
136,400,1813,GASTROGEL 200MLS
137,10,1928,flatameal tabs
138,75,2006,RISEK SACHETS 40MG
139,60,2126,MAALOX SATCHETS 20S
140,110,2158,RITO SR
141,350,2305,RELCER GEL 100ml S/S
142,60,2352,ESOFAG D
143,1200,2456,ALMAX SUSP 225ML
144,110,2870,SABEZOLE IT
145,200,2978,Nexium 40mg 14S
146,80,2981,PANTOGERD DSR
147,110,3055,GASTRO PLUS
148,360,3292,SUCRAFIL O GEL
149,1500,3506,MAALOX PLUS SUSP 250ML
150,15,3604,RELCER TABS 30's
151,450,3691,CATOXYMAG 200ML
152,400,3822,VISCID GEL
153,3000,3934,PEPTO BISMOL 118ML
154,350,4232,PEPTICAL GEL 200ML
155,450,4259,CITAL SOLN
156,2300,4272,SIGN KIT
157,1400,4360,GAVISCON DOUBLE ACT 150ML
158,65,4386,ESOPRIDE 20MG 30'S
159,450,4452,ULGICID
160,5200,4464,ESOSE HP KIT
161,2800,4526,Gaviscon DOUBLE ACTION 300ML
162,500,4565P,RELCER GEL 180ML L/S
163,20,5336,RELAX ANTACID
164,550,5406,NEOSAMAG FAST TABS
165,300,5541,GASTICA 200ML
166,45,5715,PANTODENK 20MG 28
167,10,5795,BETACOOL TABS
168,15,5912,ESOGLAX20MG 30'S
169,30,5913,ESOMEPRAZOLE(GASTROTAB)40MG10'S
170,45,5914,LIMZER (OMEEPRAZOLE+DOMPERIDONE
171,250,5916,ESOP INJ
172,100,6017,CURAM TABS 625MG 14S
173,60,6138,PANDEV 40MG TABS
174,120,6265,VONO- Q 10MG 10'S
175,120,6266,VONO- Q 20MG 10'S
176,200,6277,NEXIUM 40MG TURKEY 28'S
177,110,6356,LANSPURE DR 30 10S
178,15,6360,PUDIN HARA PEARL TABS 10'S
179,300,6362,OMIS GEL 200ML
180,100,12,CLAXY 1GM
181,80,48,BACTOCLAV 625MG
182,450,49,ZITHROX 500MG
183,25,57,Ciprofloxacin
184,450,63,Leocef susp
185,100,102,THEOFIX 400MG
186,60,126,claxy 625 mg
187,100,127,CLARIWIN 500MG
188,200,359,AMPICLOX SYR GEN 250/5 100ML
189,900,1378,clarie ds 125mg
190,1500,1416,MEROPENEM 1GM INJ
191,130,1672,SAFLOXA 750MG 10S
