ID,company,company_phone,address,postal_address,city,country,company_email,bank_name,bank_branch,account_name,account_no,acc_code,contact_person,contact_email,contact_phone,pin,credit_limit,vat_deduction,deduct_wht
1,ROADMAP TECH,,,,,,,,,,,,,,,,0,,omit
2,ASUS HOLLAND -USD,07222333222,,,,,,,,,,,,,,P444000044L,0,,omit
2,FAST WAY CARGO -USD,,,,,,,,,,,,,,,,,,omit
2,TT GONG- USD,,,,,,,,,,,,,,,,,,omit
2,IT FOR AFRICA-USD,,,,,,,,,,,,,,,,,,omit
2,ensure dubai,,,,,,,,,,,,,,,,,,omit
2,HIPERDIST LTD,,,,,,,,,,,,,,,,,,omit
2,Apple Care,,,,,,,,,,,,,,,,,,omit
2,Njeri Vendor,,,,,,,,,,,,,,,,,,omit
2,SURCHAK,,,,,,,,,,,,,,,,,,omit
2,SAMYCOM ENTERPRISES,,,,,,,,,,,,,,,,,,omit
2,CAPSLOCK IT SERVICES,,,,,,,,,,,,,,,,,,omit
2,Kyalo,,,,,,,,,,,,,,,,,,omit
2,Dr. Volt Technologies Ltd,,,,,,,,,,,,,,,,,,omit
2,WINTOUCH- USD,,,,,,,,,,,,,,,,,,omit
2,WINTOUCH -USD,,,,,,,,,,,,,,,,,,omit
2,FRIDAH SYOKAU,,,,,,,,,,,,,,,,,,omit
2,DREAMCOM TECHNOLOGIES KYALLO,,,,,,,,,,,,,,,,,,omit
2,Toshiba,,,,,,,,,,,,,,,,,,omit
2,Energy Dynamics Africa Limited,,,,,,,,,,,,,,,,,,omit
2,ACCURATE SMARTFIX,,,,,,,,,,,,,,,,,,omit
2,JORIAM TECHNOLOGIES,,,,,,,,,,,,,,,,,,omit
2,AHMED BUSINESS MACHINES LTD,,,,,,,,,,,,,,,,,,omit
2,FIN MUG LTD,,,,,,,,,,,,,,,,,,omit
2,LITELUCK ENTERPRISES,,,,,,,,,,,,,,,,,,omit
2,Sai Office Supplies Limited,,,,,,,,,,,,,,,,,,omit
2,ABUNDANT  GENERAL SUPPLIES,,,,,,,,,,,,,,,,,,omit
2,APA INSURANCE,,,,,,,,,,,,,,,,,,omit
2,SKYWING LOGISTICS LTD,,,,,,,,,,,,,,,,,,omit
2,System,,,,,,,,,,,,,,,,,,omit
2,janney screens,,,,,,,,,,,,,,,,,,omit
2,EMMA,,,,,,,,,,,,,,,,,,omit
2,LUCY,,,,,,,,,,,,,,,,,,omit
2,UNION TOWERS,,,,,,,,,,,,,,,,,,omit
2,KRA,,,,,,,,,,,,,,,,,,omit
2,POS Tax Agency,,,,,,,,,,,,,,,,,,omit
2,kra,,,,,,,,,,,,,,,,,,omit
2,enest,,,,,,,,,,,,,,,,,,omit
2,josatronic data systems,,,,,,,,,,,,,,,,,,omit
2,Fgee computers.,,,,,,,,,,,,,,,,,,omit
2,Sealtec,,,,,,,,,,,,,,,,,,omit
2,HUSSEIN,,,,,,,,,,,,,,,,,,omit
2,MIDTRAN,,,,,,,,,,,,,,,,,,omit
2,COMPMERG ENTERPRISES,,,,,,,,,,,,,,,,,,omit
2,purma computer,,,,,,,,,,,,,,,,,,omit
2,BLUECODE COMPUTER,,,,,,,,,,,,,,,,,,omit
2,FGEE TECHNOLOGY,,,,,,,,,,,,,,,,,,omit
2,SMART WORLD,,,,,,,,,,,,,,,,,,omit
2,LEXMAR,,,,,,,,,,,,,,,,,,omit
2,LUCKY 2 COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,LEAD COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,CABLE SUPPLIER,,,,,,,,,,,,,,,,,,omit
2,FORTUNE NETWORKS,,,,,,,,,,,,,,,,,,omit
2,THUNDERCOM,,,,,,,,,,,,,,,,,,omit
2,MOSES NJENGA,,,,,,,,,,,,,,,,,,omit
2,IRISH,,,,,,,,,,,,,,,,,,omit
2,AMADI,,,,,,,,,,,,,,,,,,omit
2,JANNY LAPTOPS,,,,,,,,,,,,,,,,,,omit
2,Preferred Vendor,,,,,,,,,,,,,,,,,,omit
2,janTECH COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,JOZIP,,,,,,,,,,,,,,,,,,omit
2,ngumo,,,,,,,,,,,,,,,,,,omit
2,JOSE,,,,,,,,,,,,,,,,,,omit
2,ruby,,,,,,,,,,,,,,,,,,omit
2,Mburu,,,,,,,,,,,,,,,,,,omit
2,CHARLES,,,,,,,,,,,,,,,,,,omit
2,BULLS COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,PENTAPHARM PHONE SHOP,,,,,,,,,,,,,,,,,,omit
2,Fredy,,,,,,,,,,,,,,,,,,omit
2,WERE,,,,,,,,,,,,,,,,,,omit
2,PETER,,,,,,,,,,,,,,,,,,omit
2,Sam,,,,,,,,,,,,,,,,,,omit
2,Edu,,,,,,,,,,,,,,,,,,omit
2,Sylivesta,,,,,,,,,,,,,,,,,,omit
2,njuguna,,,,,,,,,,,,,,,,,,omit
2,KISMAT,,,,,,,,,,,,,,,,,,omit
2,ROY,,,,,,,,,,,,,,,,,,omit
2,JOHN,,,,,,,,,,,,,,,,,,omit
2,SIMON JACK,,,,,,,,,,,,,,,,,,omit
2,DAN,,,,,,,,,,,,,,,,,,omit
2,kAMAU,,,,,,,,,,,,,,,,,,omit
2,MWAS,,,,,,,,,,,,,,,,,,omit
2,TONY,,,,,,,,,,,,,,,,,,omit
2,Upnext,,,,,,,,,,,,,,,,,,omit
2,TABBY,,,,,,,,,,,,,,,,,,omit
2,ED COMPUTERSIFY,,,,,,,,,,,,,,,,,,omit
2,jush,,,,,,,,,,,,,,,,,,omit
2,ENEST SOLUTIONS,,,,,,,,,,,,,,,,,,omit
2,TEDY,,,,,,,,,,,,,,,,,,omit
2,DUKE,,,,,,,,,,,,,,,,,,omit
2,kINYUA,,,,,,,,,,,,,,,,,,omit
2,Ivan,,,,,,,,,,,,,,,,,,omit
2,PECAM TECH,,,,,,,,,,,,,,,,,,omit
2,DETEK COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,DOMINIC,,,,,,,,,,,,,,,,,,omit
